0000 - *CLS             *CLS          :*CLS
006C - AUTO             AUTO          [:SENSe]:CURRent:AC:RANGe:AUTO
006D - UPPer?           UPP?          [:SENSe]:CURRent:AC:RANGe[:UPPer]?
006E - UPPer            UPP           [:SENSe]:CURRent:AC:RANGe[:UPPer]
006F - RESolution?      RES?          [:SENSe]:CURRent:AC:RESolution?
0070 - RESolution       RES           [:SENSe]:CURRent:AC:RESolution
0071 - APERture?        APER?         [:SENSe]:CURRent[:DC]:APERture?
0072 - APERture         APER          [:SENSe]:CURRent[:DC]:APERture
0073 - NPLC?            NPLC?         [:SENSe]:CURRent[:DC]:NPLC?
0074 - NPLC             NPLC          [:SENSe]:CURRent[:DC]:NPLC
0075 - STATe?           STAT?         [:SENSe]:CURRent[:DC]:NULL[:STATe]?
0076 - STATe            STAT          [:SENSe]:CURRent[:DC]:NULL[:STATe]
0077 - VALue?           VAL?          [:SENSe]:CURRent[:DC]:NULL:VALue?
0078 - VALue            VAL           [:SENSe]:CURRent[:DC]:NULL:VALue
0079 - STATe?           STAT?         [:SENSe]:CURRent[:DC]:PEAK:STATe?
007A - STATe            STAT          [:SENSe]:CURRent[:DC]:PEAK:STATe
007B - AUTO?            AUTO?         [:SENSe]:CURRent[:DC]:RANGe:AUTO?
007C - AUTO             AUTO          [:SENSe]:CURRent[:DC]:RANGe:AUTO
007D - UPPer?           UPP?          [:SENSe]:CURRent[:DC]:RANGe[:UPPer]?
007E - UPPer            UPP           [:SENSe]:CURRent[:DC]:RANGe[:UPPer]
007F - RESolution?      RES?          [:SENSe]:CURRent[:DC]:RESolution?
0080 - RESolution       RES           [:SENSe]:CURRent[:DC]:RESolution
0081 - APERture?        APER?         [:SENSe]:FREQuency:APERture?
0082 - APERture         APER          [:SENSe]:FREQuency:APERture
0083 - STATe?           STAT?         [:SENSe]:FREQuency:NULL[:STATe]?
0084 - STATe            STAT          [:SENSe]:FREQuency:NULL[:STATe]
0085 - VALue?           VAL?          [:SENSe]:FREQuency:NULL:VALue?
0086 - VALue            VAL           [:SENSe]:FREQuency:NULL:VALue
0087 - LOWer?           LOW?          [:SENSe]:FREQuency:RANGe:LOWer?
0088 - LOWer            LOW           [:SENSe]:FREQuency:RANGe:LOWer
0089 - AUTO?            AUTO?         [:SENSe]:FREQuency:VOLTage:RANGe:AUTO?
008A - AUTO             AUTO          [:SENSe]:FREQuency:VOLTage:RANGe:AUTO
008B - UPPer?           UPP?          [:SENSe]:FREQuency:VOLTage:RANGe[:UPPer]?
008C - UPPer            UPP           [:SENSe]:FREQuency:VOLTage:RANGe[:UPPer]
008D - APERture?        APER?         [:SENSe]:FRESistance:APERture?
008E - APERture         APER          [:SENSe]:FRESistance:APERture
008F - ENABled?         ENAB?         [:SENSe]:FRESistance:APERture:ENABled?
0090 - ENABled          ENAB          [:SENSe]:FRESistance:APERture:ENABled
0091 - NPLC?            NPLC?         [:SENSe]:FRESistance:NPLC?
