sample,t_iso,elapsed_s,v1_set,v1,i1,p_in_w,v2,i2_raw,i_chg,v_bat,p_bat_w,ah_cum,wh_cum,eff_inst,flags
1,2026-09-15T18:17:35.603,0.167,7.7114,7.71059,0.207029,1.5963157371099999,0.0,0.3894,0.3894,3.39728579,1.322903086626,0.0,0.0,0.8287226993207552,
2,2026-09-15T18:17:37.623,2.187,7.7114,6.03636,0.180651,1.09047447036,0.0,0.27696,0.27696,3.37719522,0.9353479881311999,0.00018694729120731358,0.000633552316003156,0.8577440495442429,
3,2026-09-15T18:17:39.663,4.227,7.7114,6.03657,0.180649,1.0905003339300001,0.0,0.27696,0.27696,3.37741467,0.9354087670031999,0.0003438538515647253,0.0011634736182011835,0.8577794411415965,
4,2026-09-15T18:17:41.597,6.161,7.7114,6.0364,0.180648,1.0904635872000001,0.0,0.27696,0.27696,3.37756091,0.9354492696336,0.0004926722854852677,0.0016661060616947373,0.8578454893992079,
5,2026-09-15T18:17:43.591,8.155,7.7114,6.03661,0.180652,1.0905256697199999,0.0,0.27696,0.27696,3.37765722,0.9354759436512,0.0006460910506486893,0.0021842946736518164,0.8578211129054761,
6,2026-09-15T18:17:45.623,10.187,7.7114,6.03733,0.180612,1.09041424596,0.0,0.22844,0.22844,3.36908401,0.7696335512444,0.0007887220995465915,0.0026655007594110795,0.7058175863860026,
7,2026-09-15T18:17:47.624,12.188,7.7114,6.03755,0.180622,1.0905143561000001,0.0,0.2323,0.2323,3.36935997,0.782702321031,0.0009167406760931016,0.003096823910626042,0.7177368336811022,
8,2026-09-15T18:17:49.592,14.156,7.7114,6.03746,0.180635,1.0905765871,-1e-05,0.22174,0.22174,3.36655162,0.7464991562188,0.0010408811879118285,0.003514927720994607,0.6844995253417724,
9,2026-09-15T18:17:51.596,16.16,7.7114,6.04067,0.180584,1.09084835128,0.0,0.0668,0.0668,3.35591519,0.224175134692,0.001121187845536073,0.0037850864786879257,0.20550531559125812,
10,2026-09-15T18:17:53.675,18.239,7.7114,6.03865,0.180578,1.0904473396999999,0.0,0.16678,0.16678,3.35662399,0.5598177490522,0.0011886373112499713,0.00401147530107017,0.5133835708253598,
11,2026-09-15T18:17:55.643,20.207,7.7114,6.03612,0.180617,1.09022588604,0.0,0.2768,0.2768,3.37668506,0.9346664246079999,0.00130988296260039,0.004419969162534445,0.8573144671907994,
12,2026-09-15T18:17:57.663,22.227,7.7114,6.0364,0.180648,1.0904635872000001,0.0,0.27686,0.27686,3.37708205,0.9349789363629999,0.0014651937895602649,0.004944435743349566,0.8574141744281067,
13,2026-09-15T18:17:59.643,24.207,7.7114,6.0365,0.180649,1.0904876885,0.0,0.27686,0.27686,3.37725901,0.9350279295085999,0.0016174691563341352,0.005458695624463222,0.8574401521164903,
14,2026-09-15T18:18:01.651,26.215,7.7114,6.03648,0.18065,1.0904901120000001,0.0,0.27686,0.27686,3.37738781,0.9350635890766,0.0017718689538558322,0.00598015367513251,0.8574709470420213,
15,2026-09-15T18:18:03.581,28.145,7.7114,6.03661,0.180647,1.0904954866699998,0.0,0.27663,0.27663,3.37742158,0.9342961316753999,0.0019203046385450494,0.006481481052465916,0.8567629514253385,
16,2026-09-15T18:18:05.635,30.199,7.7114,6.0364,0.180649,1.0904696236,0.0,0.2766,0.2766,3.37750764,0.9342186132240001,0.002078083918221129,0.007014374985395007,0.8567121843704699,
17,2026-09-15T18:18:07.613,32.177,7.7114,6.03655,0.180653,1.09052086715,0.0,0.27663,0.27663,3.37756574,0.9343360106562,0.0022300894633187187,0.007527779291285019,0.8567795801083768,
18,2026-09-15T18:18:09.575,34.139,7.7114,6.03633,0.18065,1.0904630145,0.0,0.27662,0.27662,3.37762321,0.9343181323501999,0.0023808014584336015,0.008036823293222996,0.8568086399322806,
19,2026-09-15T18:18:11.584,36.148,7.7114,6.03619,0.18066,1.0904980854,0.0,0.27664,0.27664,3.37767048,0.9343987615871999,0.0025351937577399943,0.008558305955999441,0.8568550225784742,
20,2026-09-15T18:18:13.682,38.246,7.7114,6.03636,0.180657,1.09051068852,0.0,0.27669,0.27669,3.37772314,0.9345822156066,0.002696474826836917,0.009103064508985232,0.8570133474574008,
21,2026-09-15T18:18:15.606,40.17,7.7114,6.03628,0.18065,1.0904539819999999,0.0,0.27904,0.27904,3.37821882,0.9426581795328,0.002844941576980882,0.009604581038064676,0.8644639710553141,
22,2026-09-15T18:18:17.672,42.236,7.7114,6.03637,0.180653,1.09048834961,0.0,0.27905,0.27905,3.37825046,0.9427007908630001,0.0030050903843396237,0.01014560128668406,0.8644758022404785,
23,2026-09-15T18:18:19.642,44.206,7.7114,6.0363,0.180658,1.0905058854,0.0,0.27903,0.27903,3.37828626,0.9426432151277999,0.0031577969774928354,0.01066148513859899,0.864409103837194,
24,2026-09-15T18:18:21.655,46.219,7.7114,6.03634,0.180653,1.09048293002,0.0,0.27904,0.27904,3.37832956,0.9426890804224001,0.0033138368372056214,0.01118863583100252,0.8644693598322631,
25,2026-09-15T18:18:23.682,48.246,7.7114,6.03642,0.18066,1.0905396371999998,0.0,0.27905,0.27905,3.37835459,0.9427298483395,0.003470930054942104,0.011719350458214045,0.8644617913751336,
26,2026-09-15T18:18:25.602,50.166,7.7114,6.0364,0.180648,1.0904635872000001,0.0,0.27901,0.27901,3.37837956,0.9426016810355999,0.0036197606780820415,0.012222154935048557,0.8644045450943783,
27,2026-09-15T18:18:27.631,52.195,7.7114,6.03627,0.180661,1.09051857447,0.0,0.27903,0.27903,3.37840426,0.9426761406678,0.0037770080707854687,0.012753398254496008,0.8644292382878005,
28,2026-09-15T18:18:29.670,54.234,7.7114,6.03647,0.180648,1.09047623256,0.0,0.27901,0.27901,3.37842382,0.9426140300182,0.0039350780826449385,0.013287424201809603,0.8644058456967201,
29,2026-09-15T18:18:31.603,56.167,7.7114,6.03634,0.18065,1.090464821,0.0,0.27903,0.27903,3.37845057,0.9426890625471,0.0040848316157009856,0.0137933571080406,0.8644836994215148,
30,2026-09-15T18:18:33.682,58.246,7.7114,6.0364,0.180656,1.0905118784,0.0,0.27902,0.27902,3.37846985,0.942660657547,0.0042460250250213665,0.014337942627515905,0.8644203481121843,
31,2026-09-15T18:18:35.702,60.266,7.7114,6.0363,0.180649,1.0904515586999999,0.0,0.27902,0.27902,3.37848671,0.9426653618241999,0.004402543430468107,0.014866736660737954,0.8644724786748108,
32,2026-09-15T18:18:37.562,62.126,7.7114,6.03621,0.180659,1.09049566239,0.0,0.27903,0.27903,3.37850419,0.9427040241357001,0.004546735905556876,0.01535389028177218,0.8644729700892251,
33,2026-09-15T18:18:39.647,64.212,7.7114,6.03649,0.180651,1.09049795499,0.0,0.27903,0.27903,3.37852044,0.9427085583732,0.0047083667471081,0.015899962070436806,0.8644753106225171,
34,2026-09-15T18:18:41.604,66.168,7.7114,6.03609,0.180661,1.0904860554899998,0.0,0.27903,0.27903,3.37853845,0.9427135837035,0.004860041705126561,0.01641240038217132,0.8644893522090022,
35,2026-09-15T18:18:43.674,68.238,7.7114,6.03639,0.180658,1.09052214462,0.0,0.27902,0.27902,3.37855172,0.9426835009143999,0.005020421516827409,0.016954250806707375,0.8644331576071612,
36,2026-09-15T18:18:45.704,70.268,7.7114,6.03633,0.180647,1.09044490551,0.0,0.279,0.279,3.37856553,0.94261978287,0.005177764312090142,0.017485842664684954,0.8644359546337076,
37,2026-09-15T18:18:47.636,72.2,7.7114,6.03638,0.180652,1.0904841197600001,0.0,0.27902,0.27902,3.37857669,0.9426904680438,0.005327541045166715,0.017991874008037596,0.8644696891608771,
38,2026-09-15T18:18:49.694,74.258,7.7114,6.03662,0.180651,1.09052143962,0.0,0.27903,0.27903,3.37859144,0.9427283695032,0.005487022292366621,0.018530694808514603,0.8644748606058589,
39,2026-09-15T18:18:51.661,76.225,7.7114,6.03632,0.180646,1.09043706272,0.0,0.279,0.279,3.37860167,0.9426298659300001,0.005639446583110091,0.019045674992076895,0.8644514187537722,
40,2026-09-15T18:18:53.620,78.184,7.7114,6.03644,0.180651,1.09048892244,0.0,0.27902,0.27902,3.37861101,0.9427000440102,0.0057912816289418245,0.01955866584058359,0.8644746632555256,
41,2026-09-15T18:18:55.640,80.204,7.7114,6.03649,0.180652,1.0905039914799999,0.0,0.27903,0.27903,3.37862783,0.9427385234049,0.00594784142352839,0.020087621802988568,0.8644980034648412,
42,2026-09-15T18:18:57.620,82.184,7.7114,6.03677,0.180652,1.09055457404,0.0,0.27904,0.27904,3.37863358,0.9427739141632,0.006101307847603822,0.020606128175564276,0.8644903580300974,
43,2026-09-15T18:18:59.660,84.224,7.7114,6.03614,0.180649,1.09042265486,0.0,0.27901,0.27901,3.37863659,0.9426733949759,0.006259440083869296,0.02114039929706752,0.8645027602594431,
44,2026-09-15T18:19:01.661,86.225,7.7114,6.03629,0.180644,1.09041957076,0.0,0.27898,0.27898,3.37865101,0.9425760587698,0.006414523039876088,0.021664369364805425,0.864415940474036,
45,2026-09-15T18:19:03.605,88.169,7.7114,6.03628,0.180661,1.09052038108,0.0,0.27902,0.27902,3.37865645,0.9427127226789999,0.006565212382494076,0.022173496474342323,0.8644613516946668,
46,2026-09-15T18:19:05.614,90.178,7.7114,6.03634,0.180661,1.09053122074,0.0,0.27901,0.27901,3.37866668,0.9426817903867999,0.006720901849356953,0.022699518492092997,0.864424394697408,
47,2026-09-15T18:19:07.653,92.217,7.7114,6.03634,0.180661,1.09053122074,0.0,0.279,0.279,3.37867571,0.9426505230900001,0.006878889766475887,0.023233307716808,0.8643957230773708,
48,2026-09-15T18:19:09.580,94.144,7.7114,6.03643,0.18065,1.0904810795000002,0.0,0.279,0.279,3.37867842,0.94265127918,0.007028229683181972,0.02373787906827186,0.8644361620764828,
49,2026-09-15T18:19:11.659,96.223,7.7114,6.03634,0.180648,1.09045274832,0.0,0.27899,0.27899,3.37869016,0.9426207677384001,0.007189385972447194,0.024282375291030008,0.8644306405670888,
50,2026-09-15T18:19:13.599,98.163,7.7114,6.03642,0.18065,1.090479273,0.0,0.279,0.279,3.37869676,0.9426563960400001,0.007339747528288097,0.024790400896393984,0.864442286414737,
51,2026-09-15T18:19:15.599,100.163,7.7114,6.03621,0.180648,1.09042926408,0.0,0.27899,0.27899,3.37870431,0.9426247154469,0.007494719196668927,0.02531400375525165,0.8644528778693377,
52,2026-09-15T18:19:17.653,102.217,7.7114,6.03641,0.180651,1.09048350291,0.0,0.279,0.279,3.37871121,0.9426604275900001,0.007653878406112722,0.025851756211284705,0.864442630332758,
53,2026-09-15T18:19:19.679,104.243,7.7114,6.03645,0.180648,1.0904726196,0.0,0.279,0.279,3.37871903,0.9426626093700001,0.007810930547540716,0.026382390656155847,0.8644532585474557,
54,2026-09-15T18:19:21.661,106.225,7.7114,6.03637,0.180652,1.0904823132400001,0.0,0.27899,0.27899,3.37871964,0.9426289923636,0.007964541690973439,0.026901399596542606,0.8644147465013863,
55,2026-09-15T18:19:23.581,108.145,7.7114,6.03634,0.180663,1.09054329342,0.0,0.279,0.279,3.37872481,0.9426642219900001,0.008113298750122386,0.027404008378421687,0.8643987154638828,
56,2026-09-15T18:19:25.646,110.21,7.7114,6.03624,0.18066,1.0905071184,0.0,0.27899,0.27899,3.37873591,0.9426335315309001,0.008273360510896971,0.02794481390900992,0.8643992465761609,
57,2026-09-15T18:19:27.619,112.183,7.7114,6.0364,0.180648,1.0904635872000001,0.0,0.27898,0.27898,3.37873649,0.9425999059802,0.00842625177512897,0.028461393158133546,0.8644029172955038,
58,2026-09-15T18:19:29.645,114.209,7.7114,6.03649,0.180651,1.09049795499,0.0,0.27901,0.27901,3.37874674,0.9427041279273999,0.008583264443418712,0.02899189839460955,0.8644712478493778,
59,2026-09-15T18:19:31.574,116.138,7.7114,6.03649,0.18065,1.0904919185,0.0,0.279,0.279,3.37874945,0.94267109655,0.00873277104516294,0.029497043540439152,0.8644457428411471,
60,2026-09-15T18:19:33.582,118.146,7.7114,6.03651,0.180651,1.09050156801,0.0,0.279,0.279,3.37875998,0.9426740344200001,0.008888383498385215,0.03002281985047663,0.8644407876828982,
61,2026-09-15T18:19:35.596,120.16,7.7114,6.03632,0.180652,1.09047328064,0.0,0.27899,0.27899,3.37876479,0.9426415887621,0.009044458453406226,0.03055016003773546,0.8644334579283435,
62,2026-09-15T18:19:37.618,122.182,7.7114,6.03619,0.180648,1.0904256511200001,0.0,0.27898,0.27898,3.37876719,0.9426084706662,0.009201149990100991,0.0310795840728372,0.864440844451913,
63,2026-09-15T18:19:39.582,124.146,7.7114,6.03647,0.180647,1.0904701960899998,0.0,0.27897,0.27897,3.37876962,0.9425753608913999,0.009353327264692384,0.03159375584018229,0.8643751697855723,
64,2026-09-15T18:19:41.659,126.223,7.7114,6.03624,0.180657,1.0904890096800002,0.0,0.27898,0.27898,3.37877562,0.9426108224676,0.00951428763147791,0.03213760432039104,0.864392776176814,
65,2026-09-15T18:19:43.582,128.146,7.7114,6.0363,0.18065,1.090457595,0.0,0.27898,0.27898,3.37877385,0.942610328673,0.009663342860499352,0.03264122836232833,0.8644172253878428,
66,2026-09-15T18:19:45.639,130.203,7.7114,6.03631,0.180652,1.0904714741200001,0.0,0.27899,0.27899,3.37878227,0.9426464655073,0.009822750915212761,0.0331798328001933,0.8644393621282084,
67,2026-09-15T18:19:47.618,132.182,7.7114,6.0365,0.180663,1.0905721995,0.0,0.27899,0.27899,3.37879368,0.9426496487832,0.009976094588915504,0.03369794856094245,0.864362441308683,
68,2026-09-15T18:19:49.642,134.206,7.7114,6.03628,0.180648,1.09044190944,0.0,0.27898,0.27898,3.37879816,0.9426171106768001,0.010132977615501481,0.0342280242910821,0.8644358791757043,
69,2026-09-15T18:19:51.610,136.174,7.7114,6.03656,0.180652,1.09051663712,0.0,0.27901,0.27901,3.37880242,0.9427196632042,0.01028547229811549,0.03474327336893923,0.8644706839997193,
70,2026-09-15T18:19:53.595,138.159,7.7114,6.03655,0.180649,1.09049672095,0.0,0.279,0.279,3.37880211,0.9426857886900001,0.010439339912508592,0.03526316161296122,0.8644554087872611,
71,2026-09-15T18:19:55.649,140.213,7.7114,6.03642,0.180645,1.0904490909,0.0,0.27898,0.27898,3.37880244,0.9426183047112,0.010598506561150814,0.03580095424749674,0.8644312811827023,
72,2026-09-15T18:19:57.630,142.194,7.7114,6.03653,0.18064,1.0904387791999999,0.0,0.27899,0.27899,3.37880813,0.9426536801887,0.010752041341536905,0.03631971837490441,0.8644718971571037,
73,2026-09-15T18:19:59.639,144.203,7.7114,6.03634,0.180655,1.0904950027,0.0,0.27899,0.27899,3.37881653,0.9426560237047,0.010907701966197954,0.03684566641280466,0.8644294759450896,
74,2026-09-15T18:20:01.662,146.226,7.7114,6.03647,0.180652,1.09050037844,0.0,0.27899,0.27899,3.37881656,0.9426560320744001,0.01106448845482568,0.03737541919461247,0.8644252223212462,
75,2026-09-15T18:20:03.679,148.243,7.7114,6.03629,0.180654,1.0904799336600002,0.0,0.27899,0.27899,3.37881988,0.9426569583212,0.011220811545871033,0.03790360650284323,0.8644422783254169,
76,2026-09-15T18:20:05.596,150.16,7.7114,6.03644,0.180648,1.09047081312,0.0,0.27898,0.27898,3.3788259,0.942624849582,0.011369390389020576,0.038405628099038615,0.8644200635549423,
77,2026-09-15T18:20:07.624,152.188,7.7114,6.0365,0.180653,1.0905118345,0.0,0.279,0.279,3.37882319,0.9426916700100001,0.011526531262242795,0.03893657953849695,0.8644488213575642,
78,2026-09-15T18:20:09.609,154.173,7.7114,6.03628,0.180653,1.09047209084,0.0,0.27899,0.27899,3.37883731,0.9426618211169001,0.01168033708049324,0.03945626328980809,0.8644529548580739,
79,2026-09-15T18:20:11.658,156.222,7.7114,6.03646,0.180648,1.0904744260800001,0.0,0.27899,0.27899,3.37883643,0.9426615756057,0.011839178815001251,0.03999296359885851,0.8644508784991385,
80,2026-09-15T18:20:13.601,158.165,7.7114,6.03653,0.180648,1.09048707144,0.0,0.27899,0.27899,3.37884063,0.9426627473637,0.011989741327185104,0.0405016900161989,0.8644419287969217,
81,2026-09-15T18:20:15.605,160.169,7.7114,6.03631,0.180648,1.09044732888,0.0,0.27899,0.27899,3.37883165,0.9426602420335001,0.012145045072886681,0.041026435924852764,0.864471136814749,
82,2026-09-15T18:20:17.667,162.231,7.7114,6.03658,0.18065,1.090508177,0.0,0.279,0.279,3.37884847,0.94269872313,0.012304850408346125,0.04156639259412896,0.8644581884047624,
83,2026-09-15T18:20:19.588,164.152,7.7114,6.03659,0.180652,1.09052205668,0.0,0.27901,0.27901,3.37884786,0.9427323414186,0.012453699349264305,0.042069330565011734,0.8644780136668367,
84,2026-09-15T18:20:21.649,166.213,7.7114,6.03658,0.180637,1.09042970146,0.0,0.27897,0.27897,3.37884756,0.9425971038132,0.012613413815885783,0.04260898142481131,0.8644272093387922,
85,2026-09-15T18:20:23.610,168.174,7.7114,6.03651,0.180652,1.09050760452,0.0,0.279,0.279,3.37885483,0.9427004975700001,0.012765405905373893,0.04312254007803846,0.8644602693852291,
86,2026-09-15T18:20:25.698,170.262,7.7114,6.03661,0.180654,1.09053774294,0.0,0.27902,0.27902,3.37886019,0.9427695702138,0.012927264637934501,0.0436694376721255,0.8644997170590087,
87,2026-09-15T18:20:27.603,172.167,7.7114,6.03662,0.180651,1.09052143962,0.0,0.279,0.279,3.37886682,0.9427038427800001,0.013074905838267011,0.04416829713574587,0.8644523697842126,
88,2026-09-15T18:20:29.655,174.219,7.7114,6.0366,0.18065,1.09051179,0.0,0.27901,0.27901,3.37886861,0.9427381308760999,0.013233908258925878,0.04470554528151951,0.8644914612762691,
89,2026-09-15T18:20:31.577,176.141,7.7114,6.03649,0.180653,1.09051002797,0.0,0.27899,0.27899,3.37887613,0.9426726515087,0.013382836331974469,0.04520875423264067,0.8644328133905368,
90,2026-09-15T18:20:33.589,178.153,7.7114,6.03631,0.180648,1.09044732888,0.0,0.27897,0.27897,3.37886475,0.9426018993074999,0.013538792778071101,0.04573571085831584,0.8644176333355299,
91,2026-09-15T18:20:35.597,180.161,7.7114,6.03631,0.180661,1.09052580091,0.0,0.279,0.279,3.37888036,0.9427076204400001,0.013694381289388076,0.04626142460914337,0.8644523766914533,
92,2026-09-15T18:20:37.622,182.186,7.7114,6.03645,0.18065,1.0904846925,0.0,0.27898,0.27898,3.37887406,0.9426382852588,0.013851299517440137,0.04679163203375977,0.8644213822917097,
93,2026-09-15T18:20:39.582,184.146,7.7114,6.03644,0.180645,1.0904527038,0.0,0.27897,0.27897,3.37888008,0.9426061759176,0.014003231969415152,0.04730499311191883,0.8644172944253466,
94,2026-09-15T18:20:41.658,186.222,7.7114,6.03633,0.18065,1.0904630145,0.0,0.27897,0.27897,3.37888486,0.9426075093941999,0.014164049887775386,0.04784837795712812,0.864410343918363,
95,2026-09-15T18:20:43.678,188.242,7.7114,6.03652,0.180651,1.0905033745200001,0.0,0.27899,0.27899,3.37888129,0.9426740910971,0.014320600285551618,0.04837734344654873,0.8644394076378084,
96,2026-09-15T18:20:45.597,190.161,7.7114,6.03647,0.180653,1.0905064149099999,0.0,0.27899,0.27899,3.37888701,0.9426756869199001,0.014469364434494248,0.04888000027149922,0.8644384609124006,
97,2026-09-15T18:20:47.619,192.183,7.7114,6.03637,0.180652,1.0904823132400001,0.0,0.27898,0.27898,3.37888911,0.9426424839077999,0.014626038104465278,0.04940938306427776,0.8644271185903566,
98,2026-09-15T18:20:49.660,194.224,7.7114,6.03663,0.180662,1.0905896490599998,0.0,0.279,0.279,3.37890174,0.9427135854600001,0.014784200577198139,0.04994379751983731,0.8644072371973667,
99,2026-09-15T18:20:51.595,196.159,7.7114,6.03636,0.180653,1.0904865430800001,0.0,0.27899,0.27899,3.37890083,0.9426795425617001,0.014934178677601289,0.050450558716012596,0.8644577491980506,
100,2026-09-15T18:20:53.679,198.243,7.7114,6.03628,0.180644,1.09041776432,0.0,0.27897,0.27897,3.37890174,0.9426122184078,0.0150956350198057,0.05099610375815585,0.8644505337783326,
101,2026-09-15T18:20:55.588,200.152,7.7114,6.03645,0.180652,1.0904967654000002,0.0,0.27898,0.27898,3.37890533,0.9426470089633999,0.015243567150413993,0.05149595215721306,0.864419812027257,
102,2026-09-15T18:20:57.603,202.167,7.7114,6.03618,0.180651,1.09044195318,0.0,0.27896,0.27896,3.37890447,0.9425791909512,0.015399776939747735,0.05202377017982321,0.8644010698619992,
103,2026-09-15T18:20:59.651,204.215,7.7114,6.03645,0.180659,1.09053902055,0.0,0.27899,0.27899,3.37891019,0.9426821539081001,0.015558461939806412,0.05255995208970693,0.8644185454571537,
104,2026-09-15T18:21:01.586,206.15,7.7114,6.03632,0.180648,1.09044913536,0.0,0.27898,0.27898,3.37891138,0.9426486967924,0.015708382819645275,0.05306652136748956,0.864459117096915,
105,2026-09-15T18:21:03.615,208.179,7.7114,6.03626,0.180656,1.0904865865600002,0.0,0.27897,0.27897,3.37891019,0.9426145757043,0.015865629313622252,0.053597843241893484,0.8643981387041444,
106,2026-09-15T18:21:05.694,210.258,7.7114,6.03626,0.180652,1.0904624415200002,0.0,0.27899,0.27899,3.37892069,0.9426850833031001,0.016026730637270545,0.05414219099180346,0.8644819366626579,
107,2026-09-15T18:21:07.652,212.216,7.7114,6.03631,0.180664,1.09054390984,0.0,0.279,0.279,3.3789237,0.9427197123000001,0.016178458926368093,0.05465486907544863,0.8644491100209911,
108,2026-09-15T18:21:09.661,214.225,7.7114,6.03608,0.180657,1.0904601045600002,0.0,0.27898,0.27898,3.37892882,0.9426535622036001,0.016334156966503796,0.055180961271879395,0.8644548830917204,
109,2026-09-15T18:21:11.635,216.199,7.7114,6.03611,0.180649,1.09041723539,0.0,0.27898,0.27898,3.37892133,0.9426514726434,0.016487165031067865,0.05569796405791215,0.8644869523786004,
110,2026-09-15T18:21:13.597,218.161,7.7114,6.03614,0.180661,1.0904950885399998,0.0,0.27899,0.27899,3.37892522,0.9426863471278001,0.01663922847659224,0.056211774773276456,0.8644572149241936,
111,2026-09-15T18:21:15.625,220.189,7.7114,6.0363,0.180658,1.0905058854,0.0,0.27899,0.27899,3.37892826,0.9426871952574001,0.01679639024704993,0.05674281288198169,0.8644494338621751,
112,2026-09-15T18:21:17.625,222.189,7.7114,6.03629,0.180651,1.09046182479,0.0,0.27898,0.27898,3.37893064,0.9426540699472,0.016951334281437597,0.05726635784287269,0.8644539850156931,
113,2026-09-15T18:21:19.626,224.19,7.7114,6.03635,0.18065,1.0904666275,0.0,0.27898,0.27898,3.37894443,0.9426579170814001,0.017106452872656122,0.057790493873117285,0.8644537056971056,
114,2026-09-15T18:21:21.671,226.235,7.7114,6.03631,0.180658,1.09050769198,0.0,0.27898,0.27898,3.37894268,0.9426574288664,0.0172648683234185,0.058325770739483244,0.864420705877688,
115,2026-09-15T18:21:23.580,228.144,7.7114,6.03615,0.180659,1.09048482285,0.0,0.27899,0.27899,3.37894509,0.9426918906591001,0.017412881159106892,0.05882589780553724,0.8644704363655052,
116,2026-09-15T18:21:25.689,230.253,7.7114,6.03647,0.180648,1.09047623256,0.0,0.27898,0.27898,3.37895164,0.9426599285272,0.017576319203942023,0.05937814651990211,0.86444793603086,
117,2026-09-15T18:21:27.636,232.2,7.7114,6.03607,0.180659,1.0904703701299998,0.0,0.27899,0.27899,3.37894603,0.9426921529097,0.017727151416026554,0.059887800847198025,0.864482134253054,
118,2026-09-15T18:21:29.618,234.182,7.7114,6.03628,0.18065,1.0904539819999999,0.0,0.27899,0.27899,3.37894451,0.9426917288449002,0.01788075145501859,0.06040680697242198,0.8644947374266182,
119,2026-09-15T18:21:31.663,236.227,7.7114,6.0363,0.180665,1.0905481394999998,0.0,0.27902,0.27902,3.37895233,0.9427952791166,0.018039253737849332,0.06094237801059262,0.8645150497885015,
120,2026-09-15T18:21:33.599,238.163,7.7114,6.0362,0.180661,1.0905059282,0.0,0.27898,0.27898,3.37896073,0.9426624644554,0.01818927587859068,0.06144929630265001,0.8644267216514523,
121,2026-09-15T18:21:35.587,240.151,7.7114,6.0361,0.180661,1.0904878621,0.0,0.27897,0.27897,3.37896341,0.9426294224877,0.018343315844793127,0.06196979150570845,0.8644107424290238,
122,2026-09-15T18:21:37.623,242.187,7.7114,6.0364,0.180661,1.0905420604,0.0,0.279,0.279,3.37896316,0.9427307216400002,0.018501142851505684,0.06250308316677057,0.8644606713235947,
123,2026-09-15T18:21:39.612,244.176,7.7114,6.03616,0.180661,1.0904987017599999,0.0,0.27899,0.27899,3.37896194,0.9426965916406,0.018655316031632164,0.06302402856863404,0.8644637449995529,
124,2026-09-15T18:21:41.579,246.143,7.7114,6.03638,0.180658,1.0905203380400001,0.0,0.279,0.279,3.37896164,0.94273029756,0.01880772514675558,0.06353901314508337,0.8644775018633544,
125,2026-09-15T18:21:43.617,248.181,7.7114,6.0361,0.180658,1.0904697538,0.0,0.27898,0.27898,3.37897153,0.9426654774394,0.018965677981969718,0.06407273049724996,0.8644581604895127,
126,2026-09-15T18:21:45.652,250.216,7.7114,6.03627,0.180662,1.09052461074,0.0,0.27901,0.27901,3.37897216,0.9427670223615999,0.019123393981403777,0.06460564841884636,0.8645077910913576,
127,2026-09-15T18:21:47.695,252.259,7.7114,6.03636,0.180663,1.09054690668,0.0,0.27901,0.27901,3.37897366,0.9427674408766,0.019281743260412747,0.06514070634293571,0.8644905002268161,
128,2026-09-15T18:21:49.589,254.153,7.7114,6.03622,0.180661,1.09050954142,0.0,0.279,0.279,3.37898059,0.9427355846100001,0.019428511474969986,0.0656366327825926,0.8644909088850549,
129,2026-09-15T18:21:51.690,256.254,7.7114,6.03652,0.18065,1.090497338,0.0,0.27898,0.27898,3.37897849,0.9426674191402,0.019591301937050623,0.06618669842327635,0.8644380745294401,
130,2026-09-15T18:21:53.635,258.199,7.7114,6.03636,0.180651,1.09047447036,0.0,0.27898,0.27898,3.37897548,0.9426665794104,0.01974206851625476,0.0666961352245143,0.8644554320461955,
131,2026-09-15T18:21:55.610,260.174,7.7114,6.03629,0.180659,1.0905101151099998,0.0,0.279,0.279,3.37898929,0.9427380119100001,0.01989508951151338,0.06721319047206623,0.8644926799371375,
132,2026-09-15T18:21:57.634,262.198,7.7114,6.03626,0.180662,1.09052280412,0.0,0.27899,0.27899,3.37898302,0.9427024727498001,0.02005194564173785,0.06774320516443039,0.8644500318455204,
133,2026-09-15T18:21:59.569,264.133,7.7114,6.03602,0.180657,1.09044926514,0.0,0.27897,0.27897,3.3789854,0.942635557038,0.020201910135823162,0.0682499328219989,0.864446964359206,
134,2026-09-15T18:22:01.600,266.164,7.7114,6.03619,0.180664,1.09052223016,0.0,0.27899,0.27899,3.3789875,0.942703722625,0.020359273593530725,0.06878166181332383,0.8644516329453347,
135,2026-09-15T18:22:03.691,268.255,7.7114,6.03604,0.180662,1.0904830584799998,0.0,0.27899,0.27899,3.37899112,0.9427047325687999,0.020521374520747863,0.06932939911353163,0.8644836114032025,
